#i,j,r,g,b
119,297,250,250,250

125,283,237,237,237
126,283,237,237,237

125,283,237,237,237
128,285,237,237,237

125,283,237,237,237
122,280,237,237,237

125,150,120,120,120
119,152,120,120,120

125,150,120,120,120
132,147,120,120,120

125,150,120,120,120
116,147,120,120,120

125,130,34,34,34
133,127,34,34,34

125,130,34,34,34
136,128,34,34,34

125,130,34,34,34
135,144,34,34,34

126,305,250,250,250
130,304,250,250,250

126,305,250,250,250
131,305,250,250,250

126,305,250,250,250
121,303,250,250,250

126,283,203,203,203
125,283,203,203,203

126,283,203,203,203
128,285,203,203,203

126,283,203,203,203
122,280,203,203,203

126,262,203,203,203
129,262,203,203,203

126,262,203,203,203
120,263,203,203,203

126,262,203,203,203
122,267,203,203,203

126,194,200,200,200
127,197,200,200,200

126,194,200,200,200
130,192,200,200,200

126,194,200,200,200
123,199,200,200,200

126,180,150,150,150
123,183,150,150,150

126,180,150,150,150
122,177,150,150,150

126,180,150,150,150
127,172,150,150,150

127,335,244,244,244
131,333,244,244,244

127,335,244,244,244
128,340,244,244,244

127,335,244,244,244
123,339,244,244,244

127,317,118,118,118
125,320,118,118,118

127,317,118,118,118
129,320,118,118,118

127,317,118,118,118
131,322,118,118,118

127,197,163,163,163
126,194,163,163,163

127,197,163,163,163
123,199,163,163,163

127,197,163,163,163
130,192,163,163,163

127,172,114,114,114
128,168,114,114,114

127,172,114,114,114
122,177,114,114,114

127,172,114,114,114
126,180,114,114,114

128,342,208,208,208
128,340,208,208,208

128,342,208,208,208
125,345,208,208,208

128,342,208,208,208
123,339,208,208,208

128,340,255,255,255
128,342,255,255,255

128,340,255,255,255
123,339,255,255,255

128,340,255,255,255
127,335,255,255,255

128,326,251,251,251
131,322,251,251,251

128,326,251,251,251
123,325,251,251,251

128,326,251,251,251
129,320,251,251,251

128,285,193,193,193
126,283,193,193,193

128,285,193,193,193
125,283,193,193,193

128,285,193,193,193
130,291,193,193,193

128,168,130,130,130
127,172,130,130,130

128,168,130,130,130
134,168,130,130,130

128,168,130,130,130
122,177,130,130,130

129,320,161,161,161
131,322,161,161,161

129,320,161,161,161
127,317,161,161,161

129,320,161,161,161
125,320,161,161,161

129,274,105,105,105
133,272,105,105,105

129,274,105,105,105
131,279,105,105,105

129,274,105,105,105
131,269,105,105,105

129,262,186,186,186
126,262,186,186,186

129,262,186,186,186
134,262,186,186,186

129,262,186,186,186
131,267,186,186,186

129,221,203,203,203
130,220,203,203,203

129,221,203,203,203
131,223,203,203,203

129,221,203,203,203
132,218,203,203,203

130,304,118,118,118
131,305,118,118,118

130,304,118,118,118
126,305,118,118,118

130,304,118,118,118
131,309,118,118,118

130,291,249,249,249
134,292,249,249,249

130,291,249,249,249
125,294,249,249,249

130,291,249,249,249
128,285,249,249,249

130,220,185,185,185
129,221,185,185,185

130,220,185,185,185
132,218,185,185,185

130,220,185,185,185
131,223,185,185,185

130,192,187,187,187
126,194,187,187,187

130,192,187,187,187
134,190,187,187,187

130,192,187,187,187
127,197,187,187,187

131,333,221,221,221
134,330,221,221,221

131,333,221,221,221
127,335,221,221,221

131,333,221,221,221
136,332,221,221,221

131,322,246,246,246
129,320,246,246,246

131,322,246,246,246
135,324,246,246,246

131,322,246,246,246
128,326,246,246,246

131,310,199,199,199
131,309,199,199,199

131,310,199,199,199
131,305,199,199,199

131,310,199,199,199
130,304,199,199,199

131,309,64,64,64
131,310,64,64,64

131,309,64,64,64
131,305,64,64,64

131,309,64,64,64
130,304,64,64,64

131,305,103,103,103
130,304,103,103,103

131,305,103,103,103
131,309,103,103,103

131,305,103,103,103
126,305,103,103,103

131,279,220,220,220
129,274,220,220,220

131,279,220,220,220
126,283,220,220,220

131,279,220,220,220
136,275,220,220,220

131,269,238,238,238
131,268,238,238,238

131,269,238,238,238
131,267,238,238,238

131,269,238,238,238
133,272,238,238,238

131,268,227,227,227
131,269,227,227,227

131,268,227,227,227
131,267,227,227,227

131,268,227,227,227
133,272,227,227,227

131,267,233,233,233
131,268,233,233,233

131,267,233,233,233
131,269,233,233,233

131,267,233,233,233
129,262,233,233,233

131,223,212,212,212
129,221,212,212,212

131,223,212,212,212
130,220,212,212,212

131,223,212,212,212
135,222,212,212,212

132,253,252,252,252
134,254,252,252,252

132,253,252,252,252
135,255,252,252,252

132,253,252,252,252
134,260,252,252,252

132,218,63,63,63
130,220,63,63,63

132,218,63,63,63
129,221,63,63,63

132,218,63,63,63
135,222,63,63,63

132,147,153,153,153
135,144,153,153,153

132,147,153,153,153
138,147,153,153,153

132,147,153,153,153
139,145,153,153,153

133,272,215,215,215
131,269,215,215,215

133,272,215,215,215
136,275,215,215,215

133,272,215,215,215
129,274,215,215,215

133,127,81,81,81
136,128,81,81,81

133,127,81,81,81
125,130,81,81,81

133,127,81,81,81
145,138,81,81,81

134,354,215,215,215
137,352,215,215,215

134,354,215,215,215
135,358,215,215,215

134,354,215,215,215
137,349,215,215,215

134,330,250,250,250
136,332,250,250,250

134,330,250,250,250
131,333,250,250,250

134,330,250,250,250
135,325,250,250,250

134,292,152,152,152
130,291,152,152,152

134,292,152,152,152
138,291,152,152,152

134,292,152,152,152
139,294,152,152,152

134,262,160,160,160
134,260,160,160,160

134,262,160,160,160
129,262,160,160,160

134,262,160,160,160
131,267,160,160,160

134,260,252,252,252
134,262,252,252,252

134,260,252,252,252
135,255,252,252,252

134,260,252,252,252
129,262,252,252,252

134,254,241,241,241
135,255,241,241,241

134,254,241,241,241
132,253,241,241,241

134,254,241,241,241
134,260,241,241,241

134,226,201,201,201
135,222,201,201,201

134,226,201,201,201
131,223,201,201,201

134,226,201,201,201
136,222,201,201,201

134,190,113,113,113
135,188,113,113,113

134,190,113,113,113
130,192,113,113,113

134,190,113,113,113
141,186,113,113,113

134,168,170,170,170
128,168,170,170,170

134,168,170,170,170
140,168,170,170,170

134,168,170,170,170
127,172,170,170,170

135,409,145,145,145
135,406,145,145,145

135,409,145,145,145
138,410,145,145,145

135,409,145,145,145
137,406,145,145,145

135,406,183,183,183
137,406,183,183,183

135,406,183,183,183
135,409,183,183,183

135,406,183,183,183
138,410,183,183,183

135,358,235,235,235
134,354,235,235,235

135,358,235,235,235
137,352,235,235,235

