i1,j1,i2,j2,r,g,b
159,300,158,297,170,170,170
159,300,160,295,170,170,170
159,300,165,303,170,170,170
159,367,157,369,186,186,186
159,367,162,364,186,186,186
159,367,164,366,186,186,186
159,401,158,402,210,210,210
159,401,159,404,210,210,210
159,401,164,399,210,210,210
159,404,158,402,250,250,250
159,404,159,401,250,250,250
159,404,155,406,250,250,250
159,434,160,431,239,239,239
159,434,162,433,239,239,239
159,434,162,431,239,239,239
159,520,156,520,195,195,195
159,520,155,519,195,195,195
159,520,154,522,195,195,195
159,549,155,545,104,104,104
159,549,151,547,104,104,104
159,549,166,541,104,104,104
160,295,158,297,231,231,231
160,295,159,300,231,231,231
160,295,162,290,231,231,231
160,382,163,383,236,236,236
160,382,167,381,236,236,236
160,382,155,376,236,236,236
160,431,162,431,231,231,231
160,431,162,433,231,231,231
160,431,159,434,231,231,231
160,512,163,511,217,217,217
160,512,164,514,217,217,217
160,512,163,508,217,217,217
161,235,163,238,89,89,89
161,235,166,234,89,89,89
161,235,167,235,89,89,89
161,278,167,281,214,214,214
161,278,154,272,214,214,214
161,278,171,275,214,214,214
161,442,162,442,150,150,150
161,442,169,441,150,150,150
161,442,159,434,150,150,150
162,267,163,265,185,185,185
162,267,157,268,185,185,185
162,267,168,267,185,185,185
162,290,160,295,219,219,219
162,290,158,297,219,219,219
162,290,169,295,219,219,219
162,331,163,334,139,139,139
162,331,166,331,139,139,139
162,331,162,336,139,139,139
162,336,163,337,225,225,225
162,336,163,334,225,225,225
162,336,164,338,225,225,225
162,364,163,362,205,205,205
162,364,164,366,205,205,205
162,364,159,367,205,205,205
162,431,160,431,235,235,235
162,431,162,433,235,235,235
162,431,164,431,235,235,235
162,433,162,431,229,229,229
162,433,160,431,229,229,229
162,433,164,431,229,229,229
162,442,161,442,193,193,193
162,442,169,441,193,193,193
162,442,159,434,193,193,193
162,462,166,463,206,206,206
162,462,157,462,206,206,206
162,462,156,462,206,206,206
163,238,161,235,186,186,186
163,238,166,234,186,186,186
163,238,167,235,186,186,186
163,265,162,267,170,170,170
163,265,168,265,170,170,170
163,265,168,267,170,170,170
163,334,162,336,220,220,220
