#i,j,r,g,b
116,417,6,6,6

132,465,11,11,11
128,468,11,11,11

132,465,11,11,11
137,466,11,11,11

132,465,11,11,11
124,458,11,11,11

132,439,5,5,5
134,444,5,5,5

132,439,5,5,5
134,445,5,5,5

132,439,5,5,5
131,446,5,5,5

132,430,7,7,7
137,426,7,7,7

132,430,7,7,7
132,439,7,7,7

132,430,7,7,7
120,430,7,7,7

133,452,5,5,5
129,452,5,5,5

133,452,5,5,5
128,454,5,5,5

133,452,5,5,5
131,446,5,5,5

133,226,51,51,51
129,223,51,51,51

133,226,51,51,51
125,213,51,51,51

133,226,51,51,51
145,236,51,51,51

134,445,5,5,5
134,444,5,5,5

134,445,5,5,5
131,446,5,5,5

134,445,5,5,5
128,446,5,5,5

134,444,5,5,5
134,445,5,5,5

134,444,5,5,5
131,446,5,5,5

134,444,5,5,5
132,439,5,5,5

135,252,13,13,13
128,254,13,13,13

135,252,13,13,13
140,245,13,13,13

135,252,13,13,13
130,262,13,13,13

136,415,4,4,4
131,410,4,4,4

136,415,4,4,4
137,426,4,4,4

136,415,4,4,4
146,423,4,4,4

137,466,11,11,11
132,465,11,11,11

137,466,11,11,11
128,468,11,11,11

137,466,11,11,11
147,468,11,11,11

137,426,8,8,8
132,430,8,8,8

137,426,8,8,8
146,423,8,8,8

137,426,8,8,8
136,415,8,8,8

138,241,25,25,25
140,245,25,25,25

138,241,25,25,25
145,236,25,25,25

138,241,25,25,25
146,237,25,25,25

139,381,108,108,108
148,390,108,108,108

139,381,108,108,108
125,388,108,108,108

139,381,108,108,108
130,368,108,108,108

140,245,17,17,17
138,241,17,17,17

140,245,17,17,17
135,252,17,17,17

140,245,17,17,17
146,237,17,17,17

142,437,6,6,6
148,445,6,6,6

142,437,6,6,6
132,439,6,6,6

142,437,6,6,6
134,444,6,6,6

145,236,11,11,11
146,237,11,11,11

145,236,11,11,11
150,232,11,11,11

145,236,11,11,11
138,241,11,11,11

146,458,6,6,6
147,468,6,6,6

146,458,6,6,6
155,453,6,6,6

146,458,6,6,6
154,451,6,6,6

146,423,39,39,39
137,426,39,39,39

146,423,39,39,39
136,415,39,39,39

146,423,39,39,39
142,437,39,39,39

146,237,14,14,14
145,236,14,14,14

146,237,14,14,14
150,232,14,14,14

146,237,14,14,14
138,241,14,14,14

147,468,12,12,12
150,470,12,12,12

147,468,12,12,12
153,468,12,12,12

147,468,12,12,12
146,458,12,12,12

148,445,6,6,6
153,449,6,6,6

148,445,6,6,6
155,446,6,6,6

148,445,6,6,6
154,451,6,6,6

148,390,117,117,117
139,381,117,117,117

148,390,117,117,117
125,392,117,117,117

148,390,117,117,117
125,388,117,117,117

150,470,10,10,10
147,468,10,10,10

150,470,10,10,10
153,468,10,10,10

150,470,10,10,10
146,458,10,10,10

150,232,32,32,32
145,236,32,32,32

150,232,32,32,32
146,237,32,32,32

150,232,32,32,32
153,222,32,32,32

153,468,13,13,13
150,470,13,13,13

153,468,13,13,13
147,468,13,13,13

153,468,13,13,13
146,458,13,13,13

153,449,4,4,4
154,451,4,4,4

153,449,4,4,4
155,446,4,4,4

153,449,4,4,4
155,453,4,4,4

153,222,30,30,30
155,220,30,30,30

153,222,30,30,30
156,220,30,30,30

153,222,30,30,30
159,217,30,30,30

154,451,5,5,5
153,449,5,5,5

154,451,5,5,5
155,453,5,5,5

154,451,5,5,5
155,446,5,5,5

155,453,6,6,6
154,451,6,6,6

155,453,6,6,6
153,449,6,6,6

155,453,6,6,6
155,446,6,6,6

155,446,5,5,5
153,449,5,5,5

155,446,5,5,5
154,451,5,5,5

155,446,5,5,5
155,453,5,5,5

155,437,5,5,5
155,446,5,5,5

155,437,5,5,5
148,445,5,5,5

155,437,5,5,5
162,445,5,5,5

155,220,31,31,31
156,220,31,31,31

155,220,31,31,31
153,222,31,31,31

155,220,31,31,31
159,217,31,31,31

155,214,18,18,18
159,217,18,18,18

155,214,18,18,18
155,220,18,18,18

155,214,18,18,18
156,220,18,18,18

156,242,121,121,121
146,237,121,121,121

156,242,121,121,121
150,232,121,121,121

156,242,121,121,121
145,236,121,121,121

156,220,25,25,25
155,220,25,25,25

156,220,25,25,25
153,222,25,25,25

156,220,25,25,25
159,217,25,25,25

158,197,32,32,32
166,193,32,32,32

158,197,32,32,32
163,205,32,32,32

158,197,32,32,32
170,189,32,32,32

159,324,158,158,158
190,314,158,158,158

159,324,158,158,158
127,304,158,158,158

159,324,158,158,158
196,316,158,158,158

159,217,25,25,25
156,220,25,25,25

159,217,25,25,25
155,220,25,25,25

159,217,25,25,25
155,214,25,25,25

162,446,5,5,5
162,445,5,5,5

162,446,5,5,5
168,447,5,5,5

162,446,5,5,5
155,446,5,5,5

162,445,6,6,6
162,446,6,6,6

162,445,6,6,6
168,447,6,6,6

162,445,6,6,6
155,446,6,6,6

163,229,116,116,116
156,220,116,116,116

163,229,116,116,116
155,220,116,116,116

163,229,116,116,116
153,222,116,116,116

163,205,15,15,15
158,197,15,15,15

163,205,15,15,15
155,214,15,15,15

163,205,15,15,15
166,193,15,15,15

165,457,8,8,8
166,457,8,8,8

165,457,8,8,8
165,455,8,8,8

165,457,8,8,8
170,453,8,8,8

165,455,7,7,7
165,457,7,7,7

165,455,7,7,7
166,457,7,7,7

165,455,7,7,7
170,453,7,7,7

166,457,8,8,8
165,457,8,8,8

166,457,8,8,8
165,455,8,8,8

166,457,8,8,8
170,453,8,8,8

166,193,38,38,38
170,189,38,38,38

166,193,38,38,38
158,197,38,38,38

166,193,38,38,38
163,205,38,38,38

168,447,4,4,4
162,446,4,4,4

168,447,4,4,4
162,445,4,4,4

168,447,4,4,4
170,453,4,4,4

169,473,14,14,14
179,476,14,14,14

169,473,14,14,14
